Name,user_ratings_total,category,rating,Latitude,Longitude,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence
Seahorse Grill,237,restaurant,4.5,29.24448719,-94.86803806,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low
Suki Poke by the Sea,312,restaurant,4.4,29.3106151,-94.7726445,,,93.75,"427 Market Street, Galveston",POINT (-94.7726445 29.3106151),Skeptical,Med,Yes,Low
Papa's Pizza,475,restaurant,4,29.2765,-94.80952,3000,500,3000,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High
Koop's BBQ Kitchen,211,restaurant,4.8,29.2931568,-94.8173499,0,0,750,"4501 Broadway Avenue J, Galveston",POINT (-94.8173499 29.2931568),Skeptical,Med,Yes,Low
Salsas,5484,restaurant,4.3,29.275546,-94.811817,,,656.25,"4604 Seawall Boulevard, Galveston",POINT (-94.811817 29.275546),Skeptical,Med,Yes,Low
Russo's New York Pizzeria & Italian Kitchen - Galveston,1319,restaurant,4.3,29.3070053,-94.7717454,210,30,210,"500 Seawall Boulevard #300, Galveston",POINT (-94.7717454 29.3070053),Skeptical,Med,Yes,Low
Lolo Kai Smoothies and Wraps,338,restaurant,4.8,29.3039878,-94.7931018,,,750,"528 23rd Street, Galveston",POINT (-94.7931018 29.3039878),Curious,Med,Yes,Low
Gypsy Joynt,622,restaurant,4.5,29.27417239,-94.83164758,2000,1400,2000,"6105 Stewart Rd Galveston, TX 77551",POINT (-94.8316475822502 29.2741723877485),TBD,Med,Yes,Med
Café Canela,412,restaurant,4.6,29.2744235,-94.8308258,350,50,350,"6105 Stewart Road Suite C, Galveston",POINT (-94.8308258 29.2744235),Skeptical,Med,Yes,Low
Gino's Italian Restaurant and Pizzeria,1056,restaurant,4.3,29.2753139,-94.832217,35,5,35,"6124 Stewart Road, Galveston",POINT (-94.832217 29.2753139),Skeptical,Med,Yes,Low
Vida Agave,155,restaurant,4.7,29.30184,-94.795515,70,10,70,"711 25th Street, Galveston",POINT (-94.795515 29.30184),Skeptical,Med,Yes,Low
Seawall Coffee Company,47,restaurant,4.5,29.24463873,-94.86782336,1050,350,1050,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low
