,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,business_hours_x,business_hours_text_x,business_hours_y,business_hours_text_y
398,1859 St. Joseph's Church,ChIJqXgHOmieP4YRBUStY9ojFlY,"2202 Avenue K, Galveston","{'lat': 29.2996052, 'lng': -94.79073799999999}",OPERATIONAL,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",,,,,4.5,26.0,,,,,,,,tourist_attraction,,,,
399,1859 Ashton Villa,ChIJ3_3w_WieP4YRmKqs1qjC1wA,"2328 Broadway Avenue J, Galveston","{'lat': 29.3001881, 'lng': -94.7928797}",OPERATIONAL,"['tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.6,215.0,,,,,,,,tourist_attraction,,,,
400,Al's Authentic Paranormal Tours,ChIJ9ZFQhxWfP4YRss87odo2hdI,"2315 Avenue H, Galveston","{'lat': 29.3016154, 'lng': -94.7931377}",OPERATIONAL,"['tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.9,223.0,,,,,,,,tourist_attraction,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']","[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']"
401,Moody Mansion,ChIJe-7sIm-eP4YRBBIA7ZYV-ww,"2618 Broadway Avenue J, Galveston","{'lat': 29.2995337, 'lng': -94.79627669999999}",OPERATIONAL,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.6,1479.0,,,,,,,,museum,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']","[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']"
402,#GalvWomensConf,ChIJNy8zh0KeP4YRYzOExyLCICQ,"Moody Avenue, Galveston","{'lat': 29.3002692, 'lng': -94.7895472}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,,,,
403,The Mansard House,ChIJoaDIb5mfP4YRu_5bnueapPw,"1101 23rd Street, Galveston","{'lat': 29.29888529999999, 'lng': -94.7918694}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,,,,
404,Virginia Point INN,ChIJ___LYWieP4YRRMq8Gi8Mehw,"2327 Avenue K, Galveston","{'lat': 29.298642, 'lng': -94.7924084}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,5.0,13.0,,,,,,,,lodging,,,,
405,George Sealy Mansion,ChIJqWSINDifP4YRWyQlMMZ71gU,"2419 Sealy Avenue, Galveston","{'lat': 29.299999, 'lng': -94.7940064}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,5.0,3.0,,,,,,,,lodging,,,,
406,Galveston RV Rental,ChIJ7xHYU0OfP4YR5mHoLvrjj6Y,"2008 Avenue K, Galveston","{'lat': 29.3001387, 'lng': -94.7886123}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,lodging,,,,
407,1886 Victorian,ChIJNTDgBNSfP4YR2py5QPe6ZvU,"2002 Avenue K, Galveston","{'lat': 29.3001899, 'lng': -94.78847209999999}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,3.7,3.0,,,,,,,,lodging,,,,
408,Coppersmith Inn B & B,ChIJfVzbJkOeP4YR4i0Ye7ry7Vc,"1914 Avenue M, Galveston","{'lat': 29.2986478, 'lng': -94.7870645}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,4.8,86.0,,,,,,,,lodging,,,,
409,Merimax Building,ChIJW4QlbLqfP4YRL2mbryPwgwc,"2206 Church Street, Galveston","{'lat': 29.3041352, 'lng': -94.79235419999999}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,,,,
410,Adams League Historic Inn,ChIJtayy3HmfP4YRNgPsgsJsDVw,"2314 Avenue M, Galveston","{'lat': 29.2974427, 'lng': -94.7916334}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,4.8,32.0,,,,,,,,lodging,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
411,Gal-Tex Hotel Corp,ChIJta5562ueP4YRJrcEuq0aPII,"2302 Postoffice St, Galveston","{'lat': 29.3047077, 'lng': -94.79386769999999}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,3.0,2.0,,,,,,,,lodging,,,,
412,Maud Moller House,ChIJvRvGUlCfP4YRYcJOkRdTy0Q,"812 19th Street, Galveston","{'lat': 29.3030149, 'lng': -94.7877604}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,,,,
413,Near the Pier Rentals,ChIJbVjmf9GfP4YRyEiGrILcqls,"2402 Avenue M, Galveston","{'lat': 29.2970852, 'lng': -94.79218499999999}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,,,,
414,Fleur de Lis Galveston Cottage LLC,ChIJG5Y86yifP4YRIS244NkqIsY,"1314 24th Street Rear, Galveston","{'lat': 29.2967162, 'lng': -94.79180410000001}",OPERATIONAL,"['travel_agency', 'real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",,,,,4.6,10.0,,,,,,,,travel_agency,,,,
415,Vacation Rental Galveston,ChIJDbdtuAWfP4YR_ePsmTY5nrw,"1314 25th Street, Galveston","{'lat': 29.2964031, 'lng': -94.7929126}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,"[{'close': {'day': 0, 'time': '1200'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1600'}}, {'close': {'day': 1, 'time': '1200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1600'}}, {'close': {'day': 2, 'time': '1200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '1200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '1200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '1200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '1200'}, 'open': {'day': 6, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1600'}}]","['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM']","[{'close': {'day': 0, 'time': '1200'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1600'}}, {'close': {'day': 1, 'time': '1200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1600'}}, {'close': {'day': 2, 'time': '1200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '1200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '1200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '1200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '1200'}, 'open': {'day': 6, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1600'}}]","['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fPM, 4:00\u2009–\u200910:00\u202fPM']"
416,Saltgrass Steak House,ChIJeSKGk1qeP4YRm2BZsidWzLw,"1502 Seawall Boulevard, Galveston","{'lat': 29.296032, 'lng': -94.7808646}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.4,3775.0,,,,,,,,restaurant,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}]","['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']","[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}]","['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']"
417,Denny's,ChIJEQ7joFqeP4YRggEKTtdiID0,"1410 Seawall Boulevard, Galveston","{'lat': 29.2965829, 'lng': -94.78053469999999}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,1.0,3.7,2977.0,,,,,,,,restaurant,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
418,The Meltdown,ChIJHSUHw0ifP4YRep4cORJQ3lk,"1410 Seawall Boulevard, Galveston","{'lat': 29.2966014, 'lng': -94.7805334}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,restaurant,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
419,The Burger Den,ChIJlYHAhKafP4YRkalj_BdjhAY,"1410 Seawall Boulevard, Galveston","{'lat': 29.2965973, 'lng': -94.7805175}",OPERATIONAL,"['meal_delivery', 'food', 'point_of_interest', 'establishment']",,,,,1.0,1.0,,,,,,,,meal_delivery,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']","[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']"
420,Island Pier Club,ChIJYbS8E1ueP4YR_JYZ4C49Xno,"1702 Avenue O, Galveston","{'lat': 29.29581310000001, 'lng': -94.78322290000001}",OPERATIONAL,"['night_club', 'bar', 'point_of_interest', 'establishment']",,,,1.0,4.4,285.0,,,,,,,,night_club,"[{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20092:00\u202fAM']","[{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20092:00\u202fAM']"
421,Longboard Pool Bar,ChIJfY2soVueP4YRV9p5Dh1dSrs,"1702 Seawall Boulevard, Galveston","{'lat': 29.2944602, 'lng': -94.78287290000002}",OPERATIONAL,"['bar', 'point_of_interest', 'establishment']",,,,2.0,4.1,292.0,,,,,,,,bar,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
422,DoubleTree by Hilton Hotel Galveston Beach,ChIJvR7HrlueP4YRu1HoltlanjI,"1702 Seawall Boulevard, Galveston","{'lat': 29.2945607, 'lng': -94.78324500000001}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,3.9,1724.0,,,,,,,,lodging,,,,
423,Galveston Flower Company,ChIJmexovlyeP4YRoo0mAd8Q_tc,"1513 19th Street, Galveston","{'lat': 29.2963194, 'lng': -94.78584579999999}",OPERATIONAL,"['florist', 'store', 'point_of_interest', 'establishment']",,,,,4.7,83.0,,,,,,,,florist,"[{'close': {'day': 0, 'time': '1200'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1200'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fPM']","[{'close': {'day': 0, 'time': '1200'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1200'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fPM']"
424,A Bygone Era Historic Vacation Rental,ChIJU0HQG0OeP4YRuQAHHbgLiqE,"1903 Avenue L, Galveston","{'lat': 29.299207, 'lng': -94.78693679999999}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'point_of_interest', 'establishment']",,,,,4.6,5.0,,,,,,,,real_estate_agency,,,,
