,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
1370,Savage Sulfur Services Ltd,"4500 Old Port Industrial Road, Galveston","{'lat': 29.3036899, 'lng': -94.8193817}","Savage Sulfur Services Ltd4500 Old Port Industrial Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
1371,Galveston County Community Action,"4700 Broadway Avenue J, Galveston","{'lat': 29.2941361, 'lng': -94.8200689}","Galveston County Community Action4700 Broadway Avenue J, Galveston","Galveston County Immunization Services4700 Broadway Avenue J, Galveston",88
1372,Ports America Inc,"3828 Wharf Road, Galveston","{'lat': 29.3041937, 'lng': -94.81401749999999}","Ports America Inc3828 Wharf Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1375,Broadway Quick Stop,"3902 Broadway Avenue J, Galveston","{'lat': 29.2956204, 'lng': -94.81079740000001}","Broadway Quick Stop3902 Broadway Avenue J, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1377,Sunoco,"3825 Broadway Avenue J, Galveston","{'lat': 29.2949998, 'lng': -94.8100056}","Sunoco3825 Broadway Avenue J, Galveston","Valero3825 Broadway Avenue J, Galveston",87
1378,Seaquest Food Store,"4827 Broadway Avenue J, Galveston","{'lat': 29.2921188, 'lng': -94.8214539}","Seaquest Food Store4827 Broadway Avenue J, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1380,National Carriers Inc.,"3503 Church Street, Galveston","{'lat': 29.2998286, 'lng': -94.807226}","National Carriers Inc.3503 Church Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1382,Chef Mary Bass,"1508 39th Street, Galveston","{'lat': 29.29061189999999, 'lng': -94.808531}","Chef Mary Bass1508 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1385,Good Dough,"1508 39th Street, Galveston","{'lat': 29.29061189999999, 'lng': -94.808531}","Good Dough1508 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1401,Golden Rooster Taqueria,"3324 Broadway Avenue J, Galveston","{'lat': 29.29722019999999, 'lng': -94.8044127}","Golden Rooster Taqueria3324 Broadway Avenue J, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1402,El Sazon Katracho,"1302 39th Street, Galveston","{'lat': 29.2924259, 'lng': -94.8092277}","El Sazon Katracho1302 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1405,Angie's Place,"1421 39th Street, Galveston","{'lat': 29.2909131, 'lng': -94.8090536}","Angie's Place1421 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1406,La Cazuela Cocina,"1508 39th Street, Galveston","{'lat': 29.29061189999999, 'lng': -94.808531}","La Cazuela Cocina1508 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1407,El Rey,"1519 39th Street, Galveston","{'lat': 29.2901572, 'lng': -94.80879689999999}","El Rey1519 39th Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1410,Nick's,"1613 39th Street, Galveston","{'lat': 29.28942209999999, 'lng': -94.8085269}","Nick's1613 39th Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1411,Pennies Tex Mex Take Out,"1713 37th Street, Galveston","{'lat': 29.2891349, 'lng': -94.8059756}","Pennies Tex Mex Take Out1713 37th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1412,Claudia's Cantina,"1309 39th Street, Galveston","{'lat': 29.2921716, 'lng': -94.80949729999999}","Claudia's Cantina1309 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1417,St. Patrick Catholic Church (Holy Family Parish),"1010 35th Street, Galveston","{'lat': 29.296193, 'lng': -94.8053011}","St. Patrick Catholic Church (Holy Family Parish)1010 35th Street, Galveston","East Beach Free ParkingApffel Park Road, Galveston",86
1421,Maid Works,"1104 35th Street, Galveston","{'lat': 29.295295, 'lng': -94.80516349999999}","Maid Works1104 35th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1423,Hybasia,"3715 Avenue M 1/2, Galveston","{'lat': 29.2919475, 'lng': -94.80742629999999}","Hybasia3715 Avenue M 1/2, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1424,Insurance Junction Inc.,"3320 Broadway Avenue J, Galveston","{'lat': 29.2972447, 'lng': -94.8043398}","Insurance Junction Inc.3320 Broadway Avenue J, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1426,Silk Purse,"1124 37th Street, Galveston","{'lat': 29.2942306, 'lng': -94.80726670000001}","Silk Purse1124 37th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1427,Galveston Brain Changers,"3607 Broadway Avenue J, Galveston","{'lat': 29.2958106, 'lng': -94.8072467}","Galveston Brain Changers3607 Broadway Avenue J, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1428,Bel's Upholstery,"3615 Broadway Avenue J, Galveston","{'lat': 29.2958062, 'lng': -94.80750719999999}","Bel's Upholstery3615 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1429,Cardtronics ATM,"1228 39th Street, Galveston","{'lat': 29.2928531, 'lng': -94.8093049}","Cardtronics ATM1228 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1434,Freeway Insurance,"3402 Broadway Avenue J, Galveston","{'lat': 29.2969914, 'lng': -94.80489759999999}","Freeway Insurance3402 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1435,A-Affordable,"3402 Broadway Avenue J, Galveston","{'lat': 29.2969957, 'lng': -94.8048815}","A-Affordable3402 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1438,MoneyGram,"1228 39th Street, Galveston","{'lat': 29.2927498, 'lng': -94.80937089999999}","MoneyGram1228 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1443,local meat man,"1428 35th Street, Galveston","{'lat': 29.2922274, 'lng': -94.8041628}","local meat man1428 35th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1445,Seeding Galveston,"3318 Ursuline Street, Galveston","{'lat': 29.2930268, 'lng': -94.8029645}","Seeding Galveston3318 Ursuline Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1447,Right at Home,"1409 39th Street, Galveston","{'lat': 29.2913352, 'lng': -94.809173}","Right at Home1409 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1449,"Wm. Scott Field, Restoration Architect","3818 Avenue North 1/2, Galveston","{'lat': 29.29032220000001, 'lng': -94.80811229999999}","Wm. Scott Field, Restoration Architect3818 Avenue North 1/2, Galveston","Parking utmb365-379 11th Street, Galveston",86
1453,Gulf Coast Center,"3828 Ursuline Street, Galveston","{'lat': 29.2913957, 'lng': -94.808869}","Gulf Coast Center3828 Ursuline Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1455,St Augustine of Hippo Episcopal Church,"1410 41st Street, Galveston","{'lat': 29.2910005, 'lng': -94.8111591}","St Augustine of Hippo Episcopal Church1410 41st Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
1457,Plan-it ink Photography Galveston,"3609 Avenue O, Galveston","{'lat': 29.2896297, 'lng': -94.8052038}","Plan-it ink Photography Galveston3609 Avenue O, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1458,Saints Constantine and Helen Serbian Orthodox Church,"4109 Avenue L, Galveston","{'lat': 29.292442, 'lng': -94.81250449999999}","Saints Constantine and Helen Serbian Orthodox Church4109 Avenue L, Galveston","East Beach Free ParkingApffel Park Road, Galveston",86
1460,Newman James MD,"3828 Ursuline Street, Galveston","{'lat': 29.2914586, 'lng': -94.8087508}","Newman James MD3828 Ursuline Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1461,"Dr. Ernest J. Mendoza, MD","3828 Ursuline Street, Galveston","{'lat': 29.2914649, 'lng': -94.8087334}","Dr. Ernest J. Mendoza, MD3828 Ursuline Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1466,"Dr. Philip A. Head Jr, MD","3828 Ursuline Street, Galveston","{'lat': 29.2914649, 'lng': -94.8087334}","Dr. Philip A. Head Jr, MD3828 Ursuline Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1468,galveston homes for sale,"1411 39th Street, Galveston","{'lat': 29.29130429999999, 'lng': -94.8092502}","galveston homes for sale1411 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1469,Jeff's Cab & Shuttle Service,"3410 Broadway Avenue J, Galveston","{'lat': 29.2970489, 'lng': -94.8052659}","Jeff's Cab & Shuttle Service3410 Broadway Avenue J, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1470,Oleander Maids,"908 35th Street, Galveston","{'lat': 29.2971706, 'lng': -94.8057899}","Oleander Maids908 35th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1472,Grace Episcopal Church,"1115 36th Street, Galveston","{'lat': 29.2944934, 'lng': -94.80676439999999}","Grace Episcopal Church1115 36th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1473,Smith Jr Huelen E MD,"3828 Ursuline Street, Galveston","{'lat': 29.2914586, 'lng': -94.8087508}","Smith Jr Huelen E MD3828 Ursuline Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1474,Broadway Dental,"3901 Broadway Avenue J, Galveston","{'lat': 29.29499700000001, 'lng': -94.81048899999999}","Broadway Dental3901 Broadway Avenue J, Galveston","Broadway Food Mart3001 Broadway Avenue J, Galveston",87
1482,A & M Grocery Store,"1228 39th Street, Galveston","{'lat': 29.2927277, 'lng': -94.8093627}","A & M Grocery Store1228 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1483,A&m,"904 41st Street, Galveston","{'lat': 29.2927203, 'lng': -94.8093725}","A&m904 41st Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1484,Pinedas Bargain Outlet,"1301 39th Street, Galveston","{'lat': 29.2923826, 'lng': -94.8095438}","Pinedas Bargain Outlet1301 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1486,Angel Cradling Bunny,"1124 37th Street, Galveston","{'lat': 29.2942306, 'lng': -94.80726670000001}","Angel Cradling Bunny1124 37th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1490,Yellow Door Beach Home,"4017 Avenue M, Galveston","{'lat': 29.2919022, 'lng': -94.81121089999999}","Yellow Door Beach Home4017 Avenue M, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1491,Valerie Ruth Moffitt,"4119 Avenue M, Galveston","{'lat': 29.2915799, 'lng': -94.81235780000002}","Valerie Ruth Moffitt4119 Avenue M, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1493,Nick's Kitchen and Beach Bar,"3802 Seawall Boulevard, Galveston","{'lat': 29.2797917, 'lng': -94.8040028}","Nick's Kitchen and Beach Bar3802 Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1494,Gaido's,"3828 Seawall Boulevard, Galveston","{'lat': 29.2796255, 'lng': -94.80449999999999}","Gaido's3828 Seawall Boulevard, Galveston","Wendy's2328 Seawall Boulevard, Galveston",88
1495,Joe's Crab Shack,"3502 Seawall Boulevard, Galveston","{'lat': 29.28157029999999, 'lng': -94.8014962}","Joe's Crab Shack3502 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1496,Shrimp N Stuff,"3901 Avenue O, Galveston","{'lat': 29.2888755, 'lng': -94.8084087}","Shrimp N Stuff3901 Avenue O, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1497,Brick House Tavern + Tap,"3502A Seawall Boulevard, Galveston","{'lat': 29.2817539, 'lng': -94.8011578}","Brick House Tavern + Tap3502A Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1499,Mr. C's Dugout @Galveston College,"Student Center, 4015 Avenue Q, Galveston","{'lat': 29.28471100000001, 'lng': -94.807822}","Mr. C's Dugout @Galveston CollegeStudent Center, 4015 Avenue Q, Galveston","Parking utmb365-379 11th Street, Galveston",86
1500,Tropical Treats,"4117 Avenue S, Galveston","{'lat': 29.281183, 'lng': -94.8087881}","Tropical Treats4117 Avenue S, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1501,Tamale Altamirano,"4328 Avenue R, Galveston","{'lat': 29.2825464, 'lng': -94.8120747}","Tamale Altamirano4328 Avenue R, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1502,The Gumbo Diner,"3602 Seawall Boulevard, Galveston","{'lat': 29.2811811, 'lng': -94.8018983}","The Gumbo Diner3602 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1505,Gloria's Lounge,"4126 Avenue S, Galveston","{'lat': 29.2814789, 'lng': -94.80905299999999}","Gloria's Lounge4126 Avenue S, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1507,Hurricane II,"2414 39th Street, Galveston","{'lat': 29.2825225, 'lng': -94.80587779999999}","Hurricane II2414 39th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1508,Bar 43,"4302 Avenue S, Galveston","{'lat': 29.280981, 'lng': -94.8106837}","Bar 434302 Avenue S, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1509,Redfish Pool Bar,"3788 Seawall Boulevard, Galveston","{'lat': 29.2798569, 'lng': -94.8037861}","Redfish Pool Bar3788 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1511,Gaido's Seaside Inn,"3700 Seawall Boulevard, Galveston","{'lat': 29.280281, 'lng': -94.80366509999999}","Gaido's Seaside Inn3700 Seawall Boulevard, Galveston","Gaido's3828 Seawall Boulevard, Galveston",87
1512,Commodore on the beach,"37th Street, Galveston","{'lat': 29.2805956, 'lng': -94.8026424}","Commodore on the beach37th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1513,Galveston College,"4015 Avenue Q, Galveston","{'lat': 29.2840785, 'lng': -94.8084945}","Galveston College4015 Avenue Q, Galveston","Galveston College Bookstore4015 Avenue Q, Galveston",89
1518,David Glenn Hunt Memorial Library,"4015 Avenue Q, Galveston","{'lat': 29.28471100000001, 'lng': -94.807822}","David Glenn Hunt Memorial Library4015 Avenue Q, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1519,Four Seasons On The Gulf,"4000 Seawall Boulevard, Galveston","{'lat': 29.2786186, 'lng': -94.8059365}","Four Seasons On The Gulf4000 Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1520,Crescent Electric Co,"4113 Avenue S, Galveston","{'lat': 29.2811206, 'lng': -94.80859919999999}","Crescent Electric Co4113 Avenue S, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1521,Manuel's Paint & Body Shop,"3828 Avenue S, Galveston","{'lat': 29.2823875, 'lng': -94.8057269}","Manuel's Paint & Body Shop3828 Avenue S, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1522,Selectric Services,"4123 Avenue Q, Galveston","{'lat': 29.2845712, 'lng': -94.8102019}","Selectric Services4123 Avenue Q, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1523,Galveston College Bookstore,"4015 Avenue Q, Galveston","{'lat': 29.28471100000001, 'lng': -94.8078219}","Galveston College Bookstore4015 Avenue Q, Galveston","Galveston College4015 Avenue Q, Galveston",89
1524,UFCU ATM,"4015 Avenue Q, Galveston","{'lat': 29.28471100000001, 'lng': -94.807822}","UFCU ATM4015 Avenue Q, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1525,Big Wave Surf Co.,"2404 38th Street, Galveston","{'lat': 29.2832449, 'lng': -94.8045001}","Big Wave Surf Co.2404 38th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1526,O'Connor Construction Inc.,"4009 Avenue S, Galveston","{'lat': 29.2815356, 'lng': -94.8072907}","O'Connor Construction Inc.4009 Avenue S, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1527,Whitecaps,"3916 Avenue Q, Galveston","{'lat': 29.285577, 'lng': -94.8077385}","Whitecaps3916 Avenue Q, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1528,Immaculate,"4202 Avenue S, Galveston","{'lat': 29.2812922, 'lng': -94.8094983}","Immaculate4202 Avenue S, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1529,Custom App Developers,"1823 40th Street, Galveston","{'lat': 29.2872247, 'lng': -94.8090967}","Custom App Developers1823 40th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1531,Galveston Community Pool At Lasker Park,"2016 43rd Street, Galveston","{'lat': 29.2850636, 'lng': -94.8116119}","Galveston Community Pool At Lasker Park2016 43rd Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
1536,Texas Auto Pars,"3827 Avenue O, Galveston","{'lat': 29.2889503, 'lng': -94.8079769}","Texas Auto Pars3827 Avenue O, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1538,Strictly Hardcore Surf Specialties,"3702 Avenue R, Galveston","{'lat': 29.2845406, 'lng': -94.80441239999999}","Strictly Hardcore Surf Specialties3702 Avenue R, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1539,Zapp Realty,"4204 Avenue S, Galveston","{'lat': 29.2813526, 'lng': -94.80961889999999}","Zapp Realty4204 Avenue S, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1541,Uppercuts Barber Shop,"2502 39th Street, Galveston","{'lat': 29.2820291, 'lng': -94.8056835}","Uppercuts Barber Shop2502 39th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1542,Maricela Beauty Salon,"1902 Jack Johnson Boulevard, Galveston","{'lat': 29.2866521, 'lng': -94.8097654}","Maricela Beauty Salon1902 Jack Johnson Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1543,Nguyen Bang G DDS,"3905 Avenue R, Galveston","{'lat': 29.283576, 'lng': -94.80692839999999}","Nguyen Bang G DDS3905 Avenue R, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1544,Galveston Bay Dentistry,"3905 Avenue R, Galveston","{'lat': 29.283576, 'lng': -94.80692839999999}","Galveston Bay Dentistry3905 Avenue R, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1545,Abe and Annie Seibel Student Residences,"3826 Avenue R, Galveston","{'lat': 29.2841171, 'lng': -94.8062116}","Abe and Annie Seibel Student Residences3826 Avenue R, Galveston","Parking utmb365-379 11th Street, Galveston",86
1547,Galveston Independent School District,"3904 Avenue T, Galveston","{'lat': 29.2805608, 'lng': -94.80623150000001}","Galveston Independent School District3904 Avenue T, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1548,Crockett School,Galveston,"{'lat': 29.2849595, 'lng': -94.8063071}",Crockett SchoolGalveston,"loonol MASSAGE4631 Fort Crockett Boulevard, Galveston",86
1549,Galveston College Testing Center,"4015 Avenue Q, Galveston","{'lat': 29.28471100000001, 'lng': -94.807822}","Galveston College Testing Center4015 Avenue Q, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1552,Dk Construction,"4002 Avenue S, Galveston","{'lat': 29.2819858, 'lng': -94.80726179999999}","Dk Construction4002 Avenue S, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1553,Cheney Student Center,"Avenue Q, Galveston","{'lat': 29.2847365, 'lng': -94.8081622}","Cheney Student CenterAvenue Q, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1554,Mary Moody Northen Center,"4015 Avenue Q, Galveston","{'lat': 29.283646, 'lng': -94.8087329}","Mary Moody Northen Center4015 Avenue Q, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1555,Galveston South Jetty Lantern,"3905 Avenue Q, Galveston","{'lat': 29.2853475, 'lng': -94.80728800000001}","Galveston South Jetty Lantern3905 Avenue Q, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1556,Manny's Mobile Mechanic,"3827 Avenue S, Galveston","{'lat': 29.2820455, 'lng': -94.8056106}","Manny's Mobile Mechanic3827 Avenue S, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1557,Angie's Angels,"3827 Avenue S #4, Galveston","{'lat': 29.2820455, 'lng': -94.8056106}","Angie's Angels3827 Avenue S #4, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1558,Galveston Golf Cart Society,"2415 38th Street, Galveston","{'lat': 29.282763, 'lng': -94.80469699999999}","Galveston Golf Cart Society2415 38th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1559,The Historic Iacopo Niccolai Tenant House,"2416 38th Street, Galveston","{'lat': 29.2829155, 'lng': -94.8044671}","The Historic Iacopo Niccolai Tenant House2416 38th Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
1560,"Deborah Fulbright, L.M.T.","2223 37th Street, Galveston","{'lat': 29.28463069999999, 'lng': -94.8044328}","Deborah Fulbright, L.M.T.2223 37th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1561,Tanker Surf Charters,"2223 37th Street, Galveston","{'lat': 29.28463069999999, 'lng': -94.8044328}","Tanker Surf Charters2223 37th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1562,Port Capri,"3714 Avenue S, Galveston","{'lat': 29.28289560000001, 'lng': -94.8041813}","Port Capri3714 Avenue S, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
1563,Surfer Girls Houses,"2512 38th Street, Galveston","{'lat': 29.2821362, 'lng': -94.8044695}","Surfer Girls Houses2512 38th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1564,Gethsemane Missionary Baptist Church,"2127 37th Street, Galveston","{'lat': 29.2854029, 'lng': -94.804807}","Gethsemane Missionary Baptist Church2127 37th Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
1565,Esparza's Landscaping,"3713 Avenue S, Galveston","{'lat': 29.2824201, 'lng': -94.8041501}","Esparza's Landscaping3713 Avenue S, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1566,Patina's Backyard Boxing Gym,"4101 Avenue S, Galveston","{'lat': 29.2812995, 'lng': -94.80816659999999}","Patina's Backyard Boxing Gym4101 Avenue S, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1567,Aver Cottage in Galveston,"4126 Avenue R, Galveston","{'lat': 29.2831742, 'lng': -94.8097829}","Aver Cottage in Galveston4126 Avenue R, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1568,Galveston ISD Administration Office,"3904 Avenue T, Galveston","{'lat': 29.2809207, 'lng': -94.80593119999999}","Galveston ISD Administration Office3904 Avenue T, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1569,ASAP Bail Bonds,"4111 Avenue S, Galveston","{'lat': 29.2811843, 'lng': -94.8083348}","ASAP Bail Bonds4111 Avenue S, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1578,The Sea Turtle Getaway,"3622 Avenue S, Galveston","{'lat': 29.2829941, 'lng': -94.80333809999999}","The Sea Turtle Getaway3622 Avenue S, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1580,Gaido inn - lobby and registration,"3802 Avenue T, Galveston","{'lat': 29.2804756, 'lng': -94.8041162}","Gaido inn - lobby and registration3802 Avenue T, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1581,Red Roof PLUS+ Galveston - Beachfront,"3924 Avenue U, Galveston","{'lat': 29.2794038, 'lng': -94.80588139999999}","Red Roof PLUS+ Galveston - Beachfront3924 Avenue U, Galveston","UTMB 17E113-191 11th Street, Galveston",86
1583,Boutique Bungalow,"1812 37th Street, Galveston","{'lat': 29.288504, 'lng': -94.80534469999999}","Boutique Bungalow1812 37th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1584,Coastal Cottages,"4115 Avenue T 1/2, Galveston","{'lat': 29.2785301, 'lng': -94.80783129999999}","Coastal Cottages4115 Avenue T 1/2, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1585,Bakery and Grocery Emmanuel,"2216 45th Street, Galveston","{'lat': 29.2824311, 'lng': -94.8133411}","Bakery and Grocery Emmanuel2216 45th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1586,Mi Abuelitas,"1728 45th Street, Galveston","{'lat': 29.2865926, 'lng': -94.81466739999999}","Mi Abuelitas1728 45th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1591,Bronco Burritos,"4917 Broadway Avenue J, Galveston","{'lat': 29.291768, 'lng': -94.822381}","Bronco Burritos4917 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
1593,Los Patrones Fresh Mexican Cuisine,"4901 Broadway Avenue J, Galveston","{'lat': 29.2918425, 'lng': -94.8218674}","Los Patrones Fresh Mexican Cuisine4901 Broadway Avenue J, Galveston","Parking utmb365-379 11th Street, Galveston",86
1596,Ball High School,"4115 Avenue O, Galveston","{'lat': 29.2873747, 'lng': -94.8115993}","Ball High School4115 Avenue O, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
1597,The Park at Cedar Lawn,"4400 Ursuline Street, Galveston","{'lat': 29.2903325, 'lng': -94.81479329999999}","The Park at Cedar Lawn4400 Ursuline Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
1598,Childrens Center,"1424 45th Street, Galveston","{'lat': 29.28964140000001, 'lng': -94.81558199999999}","Childrens Center1424 45th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
